Full Name	Stage Name	Korean Name	Korean Stage Name	Birthday	Group	Country	Gender
2Soul	Kim Younghoon	김영훈	이솔	1997-09-10	7 O'clock	South Korea	M
A-min	Cho Minwoo	조민우	아민	2004-05-22	EPEX	South Korea	M
A-ra	Choi Eunji	최은지	아라	2003-07-25	Girls' World	South Korea	F
A.M	Seong Hyunwoo	성현우	에이엠	1996-12-31	Limitless	South Korea	M
Ace	Jang Wooyoung	장우영	에이스	1992-08-28	VAV	South Korea	M
Aeji	Kwon Aeji	권애지	애지	1999-10-25	Hashtag	South Korea	F
AhIn	Lee Ahin	이아인	아인	1999-09-27	MOMOLAND	South Korea	F
Ahra	Go Ahra	고아라	아라	2001-02-21	Favorite	South Korea	F
Ahxian	Park Sungkook	박성국	아시안	1996-03-27	VANNER	South Korea	M
Ahyeon	Jung Ahyeon	정아현	아현	2007-04-11	BABYMONSTER	South Korea	F
Ahyoon	Choi Subin	최수빈	아윤	2004-10-23	BOTOPASS	South Korea	F
Ahyoon	Shin Ahyoon	신아윤	아윤	2003-09-24	Queenz Eye	South Korea	F
Ahyoung	Cho Jayoung	조자영	아영	1991-05-26	Dal Shabet	South Korea	F
Ahyung	Kang Ahyoung	강아형	아형	1996-08-27	P.O.P	South Korea	F
Ailee	Lee Yejin	이예진	에일리	1989-05-30		South Korea	F
Aini	Kim Heejung	김희정	아이니	1991-07-13		South Korea	F
Aisha	Heo Yoorim	허유림	아샤	2000-07-21	Everglow	South Korea	F
Aki	Jang Minju	장민주	아키	2001-02-12	MAJORS	South Korea	F
Alex	Alexander Schmidt Lee	알렉산더 슈미트 리	알렉스	2004-10-06	DRIPPIN	Germany	M
AleXa	Kim Seri	김세리	알렉사	1996-12-06		USA	F
Alice	Song Joohee	송주희	앨리스	1990-03-21	Hello Venus	South Korea	F
Alice	Cheon Jaeyoung	천재영	앨리스	2002-02-20	TRACER	South Korea	F
Allen	Allen Ma	앨런 마	앨런	1999-04-26	CRAVITY	USA	M
Amber	Amber Josephine Liu	엠버 조세핀 리우	엠버	1992-09-18	f(x)	USA	F
Andy	Lee Sunho	이선호	앤디	1981-01-21	Shinhwa	South Korea	M
Andy	Lui Chunyeung	루이쯔양	앤디	1994-10-06	7 O'clock	Hong Kong	M
Anne	Lee Seoyoung	이서영	앤	2000-10-17	GWSN	South Korea	F
Anthony	Anthony Lo	엔써니 루오	엔써니	1998-03-12	VARSITY	China	M
Ara	Lee Yunji	이윤지	아라	2002-01-23	ILY:1	South Korea	F
Aran	Jeong Eunah	정은아	아란	2004-10-11	FIFTY FIFTY	South Korea	F
Arang	Son Mnjung	손민정	아랑	2000-03-08		South Korea	F
Arang	Park Yerim	박예림	아랑	2001-01-22	Pink Fantasy	South Korea	F
Areum	Kim Daun	김다운	아름	1998-01-31	AREAL	South Korea	F
Ari	Kim Sunyoung	김선영	아리	1994-10-23	Tahiti	South Korea	F
